order_id,checkout_id,brand_id,retailer_id,order_amount,has_discount,fees_percentage,payment_cost_percentage,shipping_cost_euro
2744,1246,2,2064,"146,4",0,"0,15","0,05","18,6069193"
2171,989,2,2173,"105,6",0,"0,15","0,05","4,26418541"
6342,2404,2,5134,120,0,"0,15","0,05","3,67360711"
7130,2629,2,5440,"225,6",0,"0,15","0,05","27,5063557"
4881,1861,3,200,"1628,05",0,"0,15","0,05","13,7"
3259,1455,3,373,"128,64",100,"0,05","0,05","7,7"
5018,1822,3,4418,"646,02",0,"0,15","0,05","82,5526378"
5112,1907,3,4569,"254,76",0,"0,15","0,05","11,18"
1123,87,4,17,"284,85",0,"0,15","0,05","15,52"
777,424,4,1008,"231,68",0,"0,15","0,05","28,5329026"
757,417,4,1079,"212,69",0,"0,15","0,05","17,5305669"
5591,1275,4,1344,"245,61",0,"0,15","0,05","22,13"
5781,2285,4,1388,"407,64",0,"0,15","0,05","25,6"
7204,1723,7,184,"225,51",0,"0,15","0,05",12
10927,3490,7,6512,"413,28",0,"0,15","0,05",12
9867,3326,8,2412,516,100,"0,05","0,05","15,46"
7433,2720,8,5548,"619,2",100,"0,05","0,05",16
1289,653,9,1022,"138,42",0,"0,15","0,05","14,56"
1037,563,12,1427,190,100,"0,05","0,05","7,95"
1050,570,12,1447,143,100,"0,05","0,05","7,95"
1570,765,14,556,"113,4",0,"0,15","0,05","14,17"
9643,3411,14,6359,"111,3",0,"0,15","0,05","14,7634877"
1408,708,17,1263,"107,61",0,"0,15","0,05","11,45"
7878,2507,17,4275,100,0,"0,15","0,05","16,3"
11309,3881,17,5265,"120,27",0,"0,15","0,05","17,5546322"
1932,905,18,1912,108,0,"0,15","0,05","6,39"
7738,2703,18,1967,100,0,"0,15","0,05","6,39"
6159,994,18,2348,106,0,"0,15","0,05","7,14"
6111,2301,19,556,"135,36",0,"0,15","0,05","13,36"
2141,979,19,2316,"147,48",0,"0,15","0,05","14,57"
7752,2662,19,4416,"109,82",0,"0,15","0,05","12,35"
1703,812,20,1775,"172,8",0,"0,15","0,05","7,95"
1119,87,21,17,"140,4",0,"0,15","0,05","9,76"
934,35,21,160,"124,8",100,"0,05","0,05",12
1286,582,21,691,"368,4",0,"0,15","0,05",12
1207,383,21,1058,"403,2",100,"0,05","0,05","12,11"
11758,4038,21,1164,"129,6",0,"0,15","0,05","8,49"
2945,1331,21,1290,"374,4",100,"0,05","0,05","45,22"
1058,578,21,1490,510,100,"0,05","0,05",12
1104,598,21,1560,"154,8",100,"0,05","0,05","8,94"
1142,609,21,1578,132,100,"0,05","0,05","14,6"
1785,635,21,1657,"129,6",0,"0,15","0,05","8,94"
1261,639,21,1667,"142,8",0,"0,15","0,05","10,39"
1374,694,21,1676,"459,6",100,"0,05","0,05",12
1267,642,21,1692,396,100,"0,05","0,05","9,76"
1319,675,21,1728,"136,8",100,"0,05","0,05","8,94"
1329,681,21,1733,120,100,"0,05","0,05","7,42359428"
1388,698,21,1798,144,100,"0,05","0,05","7,95"
1918,905,21,1912,"241,2",0,"0,15","0,05","12,11"
1610,778,21,1957,692,100,"0,05","0,05","27,28"
1687,809,21,2016,"139,2",100,"0,05","0,05","14,6"
1755,836,21,2058,"201,6",100,"0,05","0,05","9,76"
3085,1401,21,2069,"151,2",100,"0,05","0,05","8,84"
2020,972,21,2095,120,0,"0,15","0,05","16,03"
2484,1131,21,2721,"136,8",0,"0,15","0,05","15,39"
10472,3193,21,2721,"158,4",0,"0,15","0,05","8,94"
2491,1135,21,2751,"208,8",0,"0,15","0,05","9,76"
2755,1252,21,3056,"145,2",0,"0,15","0,05","8,94"
3196,1437,21,3343,252,100,"0,05","0,05","10,84"
4722,1823,21,4183,"475,2",0,"0,15","0,05","11,09"
8372,1878,21,4183,"248,4",0,"0,15","0,05","16,5"
5411,2020,21,4421,"151,2",0,"0,15","0,05","8,84"
6803,2541,21,5329,"212,4",0,"0,15","0,05","9,19"
11043,3912,21,6613,"122,4",0,"0,15","0,05","8,03"
1712,816,22,2022,"124,5",0,"0,15","0,05","7,95"
5577,1275,23,1344,"141,12",0,"0,15","0,05","15,3"
1926,908,23,2039,"127,44",0,"0,15","0,05","18,36"
5294,2036,23,4700,"106,2",0,"0,15","0,05","13,75"
6586,2364,25,902,"388,8",100,"0,05","0,05","31,6622619"
4406,1827,25,1093,"180,71",0,"0,15","0,05","14,17"
1444,410,25,1173,"122,16",100,"0,05","0,05","8,74536611"
8033,2519,25,2177,"563,28",0,"0,15","0,05","14,03"
8938,3173,25,2321,"373,97",0,"0,15","0,05","14,03"
2274,1011,25,2452,"132,84",0,"0,15","0,05","7,67"
2330,1064,25,2551,"140,04",100,"0,05","0,05","11,712894"
5538,1765,25,4347,"294,94",0,"0,15","0,05","7,75"
5237,2023,25,4682,"213,82",0,"0,15","0,05","14,03"
9134,3181,25,6119,"137,84",0,"0,15","0,05","14,03"
9793,3347,25,6307,"529,89",0,"0,15","0,05","16,32"
568,292,27,905,102,0,"0,15","0,05","13,75"
2553,962,27,905,"106,08",0,"0,15","0,05","5,66783745"
2266,1029,27,1046,102,100,"0,05","0,05","22,45"
1049,569,27,1446,"206,4",0,"0,15","0,05","20,05"
11385,2819,27,1775,114,0,"0,15","0,05","13,75"
2961,1338,27,3285,"201,6",0,"0,15","0,05","20,05"
3047,1385,27,3377,"851,82",100,"0,05","0,05","90,4891018"
1315,641,28,1680,"108,55",0,"0,15","0,05","8,94"
2126,746,28,1761,477,0,"0,15","0,05",42
1491,689,29,1729,"169,92",0,"0,15","0,05","17,1384758"
1884,895,29,2139,"167,62",0,"0,15","0,05","5,97049322"
3361,1479,29,3553,"508,61",100,"0,05","0,05",20
10454,3373,29,6366,"141,6",0,"0,15","0,05","13,5"
1927,908,30,2039,"222,48",0,"0,15","0,05","19,0242662"
5119,1932,31,408,"109,73",100,"0,05","0,05","8,94"
4049,1646,31,851,"124,8",100,"0,05","0,05","8,94"
5154,1958,31,854,"109,72",100,"0,05","0,05","8,94"
5852,2263,31,1238,"205,75",100,"0,05","0,05","13,75"
1218,627,31,1599,"124,8",100,"0,05","0,05","10,45"
4081,1662,31,2003,"124,8",100,"0,05","0,05","8,94"
4112,1676,31,4212,"124,8",100,"0,05","0,05","8,94"
5519,1689,31,4213,"109,72",0,"0,15","0,05","8,94"
4128,1686,31,4225,"124,8",100,"0,05","0,05","8,94"
4544,1770,31,4227,"171,45",100,"0,05","0,05","8,94"
4168,1691,31,4235,"124,8",100,"0,05","0,05","8,94"
4248,1713,31,4263,"124,8",100,"0,05","0,05","8,94"
4404,1746,31,4331,"109,72",100,"0,05","0,05","8,94"
4546,1771,31,4383,"109,74",100,"0,05","0,05","8,94"
4787,1833,31,4449,"109,74",100,"0,05","0,05","8,94"
4826,1847,31,4467,"109,75",100,"0,05","0,05","8,94"
11678,3872,31,4501,130,0,"0,15","0,05","24,04"
5488,1906,31,4567,"109,71",0,"0,15","0,05","8,94"
5081,1907,31,4569,"109,74",100,"0,05","0,05","8,94"
6459,1925,31,4581,"109,72",0,"0,15","0,05","8,94"
5117,1930,31,4585,"109,72",100,"0,05","0,05","8,94"
5708,1938,31,4588,"109,74",100,"0,05","0,05","8,94"
