,tconst,primaryTitle,Directors,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,genre 1,genre 2,genre 3,Crew
0,tt0059325,Born in '45,Jürgen Böttcher,Jahrgang 45,1990-01-01,100.0,6.4,251.0,Drama,Romance,NONE,"Jürgen Böttcher, Wolf Biermann, Monika Hildebrand"
1,tt0064820,The Plot Against Harry,Michael Roemer,The Plot Against Harry,1989-01-01,81.0,6.9,357.0,Comedy,Crime,NONE,"Margo Ann Berdeshevsky, Sandra Kazan, Sarah Christie, Martin Priest"
2,tt0067625,Trial on the Road,Aleksey German,Proverka na dorogakh,1986-01-01,96.0,7.9,2424.0,Drama,War,NONE,"Gennadi Dyudyayev, Rolan Bykov"
3,tt0070501,Little White Dove,Raúl Ruiz,Palomita blanca,1992-01-01,125.0,7.0,225.0,Comedy,Drama,Romance,Mónica Echeverría
4,tt0080828,Encounter of the Spooky Kind II,Ricky Lau,Gui yao gui,1989-01-01,100.0,6.6,424.0,Action,Comedy,Horror,Sammo Kam-Bo Hung
5,tt0081145,Me and the Kid,Dan Curtis,Me and the Kid,1993-01-01,94.0,5.4,282.0,Comedy,Crime,Drama,"Demond Wilson, Mowava Pryor, Danny Aiello"
6,tt0081721,Vincent and Me,Michael Rubbo,Vincent et moi,1990-01-01,100.0,6.2,321.0,Drama,Family,Fantasy,"Claude Nedjar, Rock Demers, Tchéky Karyo"
7,tt0081766,The Wizard of Speed and Time,Mike Jittlov,The Wizard of Speed and Time,1988-01-01,95.0,7.0,2076.0,Biography,Comedy,Musical,"Tery McPhie, Phil Boroff, Paul Barselou, Mike Jittlov"
8,tt0082668,Lo que vendrÇ­,Gustavo Mosquera R.,Lo que vendrÇ­,1988-01-01,98.0,6.0,125.0,Crime,Drama,Sci-Fi,"Rosario Bléfari, Gustavo Mosquera R., Hugo Soto"
9,tt0084460,P.K. and the Kid,Lou Lombardo,P.K. and the Kid,1987-01-01,89.0,5.3,223.0,Drama,NONE,NONE,"Ann Bradley, Mimi Wickliff, Paul Le Mat"
10,tt0084548,Interrogation,Ryszard Bugajski,Przesluchanie,1989-01-01,118.0,8.0,3459.0,Crime,Drama,Thriller,"Anna Romantowska, Krzysztof Gosztyla, Ryszard Bugajski, Krystyna Janda"
11,tt0084549,Blind Chance,Krzysztof Kieslowski,Przypadek,1987-01-01,114.0,7.7,10425.0,Drama,Romance,NONE,"Barbara Kociuba, Jacek Borkowski, Irena Byrska, Boguslaw Linda"
12,tt0085253,Blood Rage,John Grissmer,Blood Rage,1987-01-01,82.0,5.8,5249.0,Horror,NONE,NONE,Louise Lasser
13,tt0085916,Matka KrÇülÇüw,Janusz Zaorski,Matka KrÇülÇüw,1987-01-01,127.0,7.3,282.0,Drama,History,War,"Stanislaw Kaluzynski, Piotr Stefaniak, Joanna Szczepkowska, Magda Teresa Wójcik"
14,tt0086130,Portfolio,Robert Guralnick,Portfolio,1986-01-01,83.0,6.0,109.0,Drama,NONE,NONE,"Rocky Burnette, Carrie Nygren"
15,tt0086584,Wierna rzeka,Tadeusz Chmielewski,Wierna rzeka,1987-01-01,137.0,7.1,102.0,Drama,History,Romance,"Irena Burawska, Tadeusz Chmielewski, Tomasz Bek, Malgorzata Pieczynska"
16,tt0087300,The Frog Prince,Brian Gilbert,The Frog Prince,1986-01-01,100.0,6.7,106.0,Comedy,Drama,Romance,"Alexandre Sterling, Brigitte Chamarande, Jane Snowden"
17,tt0087301,Hibiscus Town,Jin Xie,Fu rong zhen,1987-01-01,164.0,8.2,1122.0,Drama,History,Romance,"Xiaoqing Liu, Wen Jiang"
18,tt0087900,Change of Fate,Kira Muratova,Peremena uchasti,1987-01-01,109.0,7.1,137.0,Drama,NONE,NONE,"Natalya Leble, Vladimir Dmitriev, Natalya Leble"
19,tt0088267,Tian di xuan men,Thomas Yip,Tian di xuan men,1991-01-01,90.0,5.6,114.0,Action,Comedy,Fantasy,Phillip Ko
20,tt0088670,Um Adeus PortuguǦs,João Botelho,Um Adeus PortuguǦs,1986-01-01,85.0,6.2,123.0,Drama,NONE,NONE,"Anamar, João Botelho, Maria Cabral, Isabel de Castro"
21,tt0088745,The Killer is Still Among Us,Camillo Teti,L'assassino Çù ancora tra noi,1986-01-01,83.0,5.2,447.0,Horror,Mystery,Thriller,"Mariangela D'Abbraccio, Mariangela D'Abbraccio"
22,tt0088799,Il Bi e il Ba,Maurizio Nichetti,Il Bi e il Ba,1986-01-01,90.0,6.7,169.0,Comedy,NONE,NONE,"Maria Giovanna Elmi, Daniela Conti, Sergio Cosentino, Nino Frassica"
23,tt0088842,Boycott,Mohsen Makhmalbaf,Baykot,1986-01-01,114.0,5.9,372.0,Drama,NONE,NONE,Ardalan Shoja-Kaveh
24,tt0088879,Il camorrista,Giuseppe Tornatore,Il camorrista,1986-01-01,171.0,7.1,1556.0,Crime,Drama,NONE,"Cloris Brosca, Giuseppe Marrazzo, Eurilla del Bono, Ben Gazzara"
25,tt0088900,Secret Obsession,Ridha Behi,Champagne amer,1989-01-01,82.0,5.8,103.0,Drama,NONE,NONE,Jean Carmet
26,tt0088938,Colierul de turcoaze,Gheorghe Vitanidis,Colierul de turcoaze,1986-01-01,92.0,7.3,323.0,Action,Adventure,History,"Alexandru Arsinel, Marga Barbu, Constantin Codrescu, Florin Piersic"
27,tt0088952,Crystal Heart,Gil Bettman,Crystal Heart,1986-01-01,103.0,5.0,270.0,Drama,Music,Romance,Lee Curreri
28,tt0089016,Desiderando Giulia,Andrea Barzini,Desiderando Giulia,1986-01-01,104.0,5.1,312.0,Drama,NONE,NONE,"Andrea Barzini, Serena Grandi"
29,tt0089019,Detective School Dropouts,Filippo Ottoni,Detective School Dropouts,1986-01-01,92.0,5.4,355.0,Comedy,NONE,NONE,"Lorin Dreyfuss, David Landsberg"
30,tt0089063,Dvoynoy kapkan,Aloizs Brencs,Dvoynoy kapkan,1986-01-01,139.0,6.2,105.0,Crime,Mystery,NONE,Algis Matulionis
31,tt0089074,EgǸszsǸges erotika,Péter Tímár,EgǸszsǸges erotika,1986-01-01,94.0,7.5,1365.0,Comedy,NONE,NONE,"Denise Kárpáti, László K. Nagy, Éva Varga, Éva Varga"
32,tt0089084,Az elvarÇ­zsolt dollÇ­r,István Bujtor,Az elvarÇ­zsolt dollÇ­r,1986-01-01,90.0,7.1,773.0,Comedy,Crime,NONE,"István Bujtor, Attila Hajdu, Edina Somlai, István Bujtor"
33,tt0089118,F/X,Robert Mandel,F/X,1986-01-01,109.0,6.7,20999.0,Action,Thriller,NONE,"M'el Dowd, Steve Dash, Drummond Erskine, Bryan Brown"
34,tt0089122,Fair Game,Mario Andreacchio,Fair Game,1986-01-01,86.0,6.0,1585.0,Action,Thriller,NONE,"Garry Who, Cassandra Delaney"
35,tt0089123,FalfǧrÇü,György Szomjas,FalfǧrÇü,1986-01-01,98.0,6.7,325.0,Comedy,Drama,NONE,"Ágnes Bertalan, Béla Bokodi, Mariann Erdös, János Bán"
36,tt0089205,Gilsoddeum,Im Kwon-taek,Gilsoddeum,1986-01-01,105.0,7.0,101.0,Drama,NONE,NONE,"Sang-Ah Lee, Ji-il Han, Ji-mee Kim"
37,tt0089221,The Gospel According to Vic,Charles Gormley,Heavenly Pursuits,1986-01-01,92.0,6.1,571.0,Comedy,Drama,NONE,"Charles Gormley, Robert Paterson, Tom Conti"
38,tt0089270,Heng cai san qian wan,Karl Maka,Heng cai san qian wan,1987-01-01,93.0,5.9,147.0,Adventure,Comedy,NONE,Karl Maka
39,tt0089287,Hollywood Harry,Robert Forster,Hollywood Harry,1986-01-01,98.0,5.0,110.0,Comedy,Crime,Thriller,"Cynthia Thompson, Mallie Jackson, Robert Forster"
40,tt0089409,Keeping Track,Robin Spry,Keeping Track,1986-01-01,102.0,5.6,118.0,Adventure,Crime,Mystery,"Gary Plaxton, Raymond Bélisle, Jacques Desbaillets, Michael Sarrazin"
41,tt0089413,Khamosh,Vidhu Vinod Chopra,Khamosh,1986-01-01,101.0,7.5,1051.0,Mystery,Thriller,NONE,Shabana Azmi
42,tt0089499,Lola,Bigas Luna,Lola,1986-01-01,106.0,5.6,234.0,Drama,Thriller,NONE,"Carme Sansa, Rosa Novell, Hilario Camacho, Ángela Molina"
43,tt0089541,Mambrǧ se fue a la guerra,Fernando Fernán Gómez,Mambrǧ se fue a la guerra,1986-01-01,99.0,6.4,196.0,Comedy,Drama,NONE,"Pedro Beltrán, María Asquerino, Fernando Fernán Gómez"
44,tt0089599,Mirch Masala,Ketan Mehta,Mirch Masala,1986-01-01,128.0,7.8,1486.0,Drama,Thriller,NONE,"Smita Patil, Suresh Oberoi, Smita Patil"
45,tt0089633,Mr. Love,Roy Battersby,Mr. Love,1986-01-01,91.0,6.4,181.0,Comedy,NONE,NONE,Barry Jackson
46,tt0089663,A nagy generÇ­ciÇü,Ferenc András,A nagy generÇ­ciÇü,1986-01-01,109.0,7.0,164.0,Drama,NONE,NONE,"Ferenc András, Beatrix Zillich, György Cserhalmi"
47,tt0089671,Nattseilere,Tor M. Tørstad,Nattseilere,1986-01-01,113.0,6.8,212.0,Adventure,Drama,NONE,"Ellen Andreassen Jensen, Katja Medbøe"
48,tt0089699,Blood Hunt,Javier Elorrieta,La noche de la ira,1986-01-01,105.0,5.7,100.0,Crime,Drama,Thriller,"Horacio Guerra, Aldo Sambrell"
49,tt0089721,The Detached Mission,Mikhail Tumanishvili,Odinochnoe plavanie,1986-01-01,96.0,5.3,237.0,Action,Drama,NONE,"Valeriy Frolov, Nikolay Astapov, Nartay Begalin, Mikhail Nozhkin"
50,tt0089794,A King and His Movie,Carlos Sorin,La pelÇðcula del rey,1986-01-01,107.0,7.0,452.0,Comedy,Drama,NONE,"Ana María Giunta, Fernando Bravo, Villanueva Cosse, Ulises Dumont"
