,Unnamed: 0,tconst,primaryTitle,Directors,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,Crew,genre
0,0,tt0059325,Born in '45,Jürgen Böttcher,Jahrgang 45,1990-01-01,100,6,251,"Jürgen Böttcher, Wolf Biermann, Monika Hildebrand","Drama,Romance,NONE"
1,1,tt0064820,The Plot Against Harry,Michael Roemer,The Plot Against Harry,1989-01-01,81,6,357,"Margo Ann Berdeshevsky, Sandra Kazan, Sarah Christie, Martin Priest","Comedy,Crime,NONE"
2,2,tt0067625,Trial on the Road,Aleksey German,Proverka na dorogakh,1986-01-01,96,7,2424,"Gennadi Dyudyayev, Rolan Bykov","Drama,War,NONE"
3,3,tt0070501,Little White Dove,Raúl Ruiz,Palomita blanca,1992-01-01,125,7,225,Mónica Echeverría,"Comedy,Drama,Romance"
4,4,tt0080828,Encounter of the Spooky Kind II,Ricky Lau,Gui yao gui,1989-01-01,100,6,424,Sammo Kam-Bo Hung,"Action,Comedy,Horror"
5,5,tt0081145,Me and the Kid,Dan Curtis,Me and the Kid,1993-01-01,94,5,282,"Demond Wilson, Mowava Pryor, Danny Aiello","Comedy,Crime,Drama"
6,6,tt0081721,Vincent and Me,Michael Rubbo,Vincent et moi,1990-01-01,100,6,321,"Claude Nedjar, Rock Demers, Tchéky Karyo","Drama,Family,Fantasy"
7,7,tt0081766,The Wizard of Speed and Time,Mike Jittlov,The Wizard of Speed and Time,1988-01-01,95,7,2076,"Tery McPhie, Phil Boroff, Paul Barselou, Mike Jittlov","Biography,Comedy,Musical"
8,8,tt0082668,Lo que vendrÇ­,Gustavo Mosquera R.,Lo que vendrÇ­,1988-01-01,98,6,125,"Rosario Bléfari, Gustavo Mosquera R., Hugo Soto","Crime,Drama,Sci-Fi"
9,9,tt0084460,P.K. and the Kid,Lou Lombardo,P.K. and the Kid,1987-01-01,89,5,223,"Ann Bradley, Mimi Wickliff, Paul Le Mat","Drama,NONE,NONE"
10,10,tt0084548,Interrogation,Ryszard Bugajski,Przesluchanie,1989-01-01,118,8,3459,"Anna Romantowska, Krzysztof Gosztyla, Ryszard Bugajski, Krystyna Janda","Crime,Drama,Thriller"
11,11,tt0084549,Blind Chance,Krzysztof Kieslowski,Przypadek,1987-01-01,114,7,10425,"Barbara Kociuba, Jacek Borkowski, Irena Byrska, Boguslaw Linda","Drama,Romance,NONE"
12,12,tt0085253,Blood Rage,John Grissmer,Blood Rage,1987-01-01,82,5,5249,Louise Lasser,"Horror,NONE,NONE"
13,13,tt0085916,Matka KrÇülÇüw,Janusz Zaorski,Matka KrÇülÇüw,1987-01-01,127,7,282,"Stanislaw Kaluzynski, Piotr Stefaniak, Joanna Szczepkowska, Magda Teresa Wójcik","Drama,History,War"
14,14,tt0086130,Portfolio,Robert Guralnick,Portfolio,1986-01-01,83,6,109,"Rocky Burnette, Carrie Nygren","Drama,NONE,NONE"
15,15,tt0086584,Wierna rzeka,Tadeusz Chmielewski,Wierna rzeka,1987-01-01,137,7,102,"Irena Burawska, Tadeusz Chmielewski, Tomasz Bek, Malgorzata Pieczynska","Drama,History,Romance"
16,16,tt0087300,The Frog Prince,Brian Gilbert,The Frog Prince,1986-01-01,100,6,106,"Alexandre Sterling, Brigitte Chamarande, Jane Snowden","Comedy,Drama,Romance"
17,17,tt0087301,Hibiscus Town,Jin Xie,Fu rong zhen,1987-01-01,164,8,1122,"Xiaoqing Liu, Wen Jiang","Drama,History,Romance"
18,18,tt0087900,Change of Fate,Kira Muratova,Peremena uchasti,1987-01-01,109,7,137,"Natalya Leble, Vladimir Dmitriev, Natalya Leble","Drama,NONE,NONE"
19,19,tt0088267,Tian di xuan men,Thomas Yip,Tian di xuan men,1991-01-01,90,5,114,Phillip Ko,"Action,Comedy,Fantasy"
20,20,tt0088670,Um Adeus PortuguǦs,João Botelho,Um Adeus PortuguǦs,1986-01-01,85,6,123,"Anamar, João Botelho, Maria Cabral, Isabel de Castro","Drama,NONE,NONE"
21,21,tt0088745,The Killer is Still Among Us,Camillo Teti,L'assassino Çù ancora tra noi,1986-01-01,83,5,447,"Mariangela D'Abbraccio, Mariangela D'Abbraccio","Horror,Mystery,Thriller"
22,22,tt0088799,Il Bi e il Ba,Maurizio Nichetti,Il Bi e il Ba,1986-01-01,90,6,169,"Maria Giovanna Elmi, Daniela Conti, Sergio Cosentino, Nino Frassica","Comedy,NONE,NONE"
23,23,tt0088842,Boycott,Mohsen Makhmalbaf,Baykot,1986-01-01,114,5,372,Ardalan Shoja-Kaveh,"Drama,NONE,NONE"
24,24,tt0088879,Il camorrista,Giuseppe Tornatore,Il camorrista,1986-01-01,171,7,1556,"Cloris Brosca, Giuseppe Marrazzo, Eurilla del Bono, Ben Gazzara","Crime,Drama,NONE"
25,25,tt0088900,Secret Obsession,Ridha Behi,Champagne amer,1989-01-01,82,5,103,Jean Carmet,"Drama,NONE,NONE"
26,26,tt0088938,Colierul de turcoaze,Gheorghe Vitanidis,Colierul de turcoaze,1986-01-01,92,7,323,"Alexandru Arsinel, Marga Barbu, Constantin Codrescu, Florin Piersic","Action,Adventure,History"
27,27,tt0088952,Crystal Heart,Gil Bettman,Crystal Heart,1986-01-01,103,5,270,Lee Curreri,"Drama,Music,Romance"
28,28,tt0089016,Desiderando Giulia,Andrea Barzini,Desiderando Giulia,1986-01-01,104,5,312,"Andrea Barzini, Serena Grandi","Drama,NONE,NONE"
29,29,tt0089019,Detective School Dropouts,Filippo Ottoni,Detective School Dropouts,1986-01-01,92,5,355,"Lorin Dreyfuss, David Landsberg","Comedy,NONE,NONE"
30,30,tt0089063,Dvoynoy kapkan,Aloizs Brencs,Dvoynoy kapkan,1986-01-01,139,6,105,Algis Matulionis,"Crime,Mystery,NONE"
31,31,tt0089074,EgǸszsǸges erotika,Péter Tímár,EgǸszsǸges erotika,1986-01-01,94,7,1365,"Denise Kárpáti, László K. Nagy, Éva Varga, Éva Varga","Comedy,NONE,NONE"
32,32,tt0089084,Az elvarÇ­zsolt dollÇ­r,István Bujtor,Az elvarÇ­zsolt dollÇ­r,1986-01-01,90,7,773,"István Bujtor, Attila Hajdu, Edina Somlai, István Bujtor","Comedy,Crime,NONE"
33,33,tt0089118,F/X,Robert Mandel,F/X,1986-01-01,109,6,20999,"M'el Dowd, Steve Dash, Drummond Erskine, Bryan Brown","Action,Thriller,NONE"
34,34,tt0089122,Fair Game,Mario Andreacchio,Fair Game,1986-01-01,86,6,1585,"Garry Who, Cassandra Delaney","Action,Thriller,NONE"
35,35,tt0089123,FalfǧrÇü,György Szomjas,FalfǧrÇü,1986-01-01,98,6,325,"Ágnes Bertalan, Béla Bokodi, Mariann Erdös, János Bán","Comedy,Drama,NONE"
36,36,tt0089205,Gilsoddeum,Im Kwon-taek,Gilsoddeum,1986-01-01,105,7,101,"Sang-Ah Lee, Ji-il Han, Ji-mee Kim","Drama,NONE,NONE"
37,37,tt0089221,The Gospel According to Vic,Charles Gormley,Heavenly Pursuits,1986-01-01,92,6,571,"Charles Gormley, Robert Paterson, Tom Conti","Comedy,Drama,NONE"
38,38,tt0089270,Heng cai san qian wan,Karl Maka,Heng cai san qian wan,1987-01-01,93,5,147,Karl Maka,"Adventure,Comedy,NONE"
39,39,tt0089287,Hollywood Harry,Robert Forster,Hollywood Harry,1986-01-01,98,5,110,"Cynthia Thompson, Mallie Jackson, Robert Forster","Comedy,Crime,Thriller"
40,40,tt0089409,Keeping Track,Robin Spry,Keeping Track,1986-01-01,102,5,118,"Gary Plaxton, Raymond Bélisle, Jacques Desbaillets, Michael Sarrazin","Adventure,Crime,Mystery"
41,41,tt0089413,Khamosh,Vidhu Vinod Chopra,Khamosh,1986-01-01,101,7,1051,Shabana Azmi,"Mystery,Thriller,NONE"
42,42,tt0089499,Lola,Bigas Luna,Lola,1986-01-01,106,5,234,"Carme Sansa, Rosa Novell, Hilario Camacho, Ángela Molina","Drama,Thriller,NONE"
43,43,tt0089541,Mambrǧ se fue a la guerra,Fernando Fernán Gómez,Mambrǧ se fue a la guerra,1986-01-01,99,6,196,"Pedro Beltrán, María Asquerino, Fernando Fernán Gómez","Comedy,Drama,NONE"
44,44,tt0089599,Mirch Masala,Ketan Mehta,Mirch Masala,1986-01-01,128,7,1486,"Smita Patil, Suresh Oberoi, Smita Patil","Drama,Thriller,NONE"
