,tconst,primaryTitle,Directors,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,genre 1,Crew
2,tt0067625,Trial on the Road,Aleksey German,Proverka na dorogakh,1986-01-01,96,7,2424,Drama,"Gennadi Dyudyayev, Rolan Bykov"
7,tt0081766,The Wizard of Speed and Time,Mike Jittlov,The Wizard of Speed and Time,1988-01-01,95,7,2076,Biography,"Tery McPhie, Phil Boroff, Paul Barselou, Mike Jittlov"
10,tt0084548,Interrogation,Ryszard Bugajski,Przesluchanie,1989-01-01,118,8,3459,Crime,"Anna Romantowska, Krzysztof Gosztyla, Ryszard Bugajski, Krystyna Janda"
11,tt0084549,Blind Chance,Krzysztof Kieslowski,Przypadek,1987-01-01,114,7,10425,Drama,"Barbara Kociuba, Jacek Borkowski, Irena Byrska, Boguslaw Linda"
12,tt0085253,Blood Rage,John Grissmer,Blood Rage,1987-01-01,82,5,5249,Horror,Louise Lasser
17,tt0087301,Hibiscus Town,Jin Xie,Fu rong zhen,1987-01-01,164,8,1122,Drama,"Xiaoqing Liu, Wen Jiang"
24,tt0088879,Il camorrista,Giuseppe Tornatore,Il camorrista,1986-01-01,171,7,1556,Crime,"Cloris Brosca, Giuseppe Marrazzo, Eurilla del Bono, Ben Gazzara"
31,tt0089074,EgǸszsǸges erotika,Péter Tímár,EgǸszsǸges erotika,1986-01-01,94,7,1365,Comedy,"Denise Kárpáti, László K. Nagy, Éva Varga, Éva Varga"
33,tt0089118,F/X,Robert Mandel,F/X,1986-01-01,109,6,20999,Action,"M'el Dowd, Steve Dash, Drummond Erskine, Bryan Brown"
34,tt0089122,Fair Game,Mario Andreacchio,Fair Game,1986-01-01,86,6,1585,Action,"Garry Who, Cassandra Delaney"
41,tt0089413,Khamosh,Vidhu Vinod Chopra,Khamosh,1986-01-01,101,7,1051,Mystery,Shabana Azmi
44,tt0089599,Mirch Masala,Ketan Mehta,Mirch Masala,1986-01-01,128,7,1486,Drama,"Smita Patil, Suresh Oberoi, Smita Patil"
55,tt0089997,Seven Minutes in Heaven,Linda Feferman,Seven Minutes in Heaven,1986-01-01,88,5,1861,Comedy,"Matthew Lewis, Peter Ivers, Vincent Capolupo, Jennifer Connelly"
57,tt0090101,Super Fantozzi,Neri Parenti,Super Fantozzi,1986-01-01,92,6,2119,Comedy,"Gigi Reder, Liù Bosisio, Paolo Villaggio"
59,tt0090197,In a Glass Cage,Agustí Villaronga,Tras el cristal,1986-01-01,110,6,4778,Drama,"Günter Meisner, Biel Moll, Günter Meisner"
61,tt0090259,Voyage to Nowhere,Fernando Fernán Gómez,El viaje a ninguna parte,1986-01-01,134,7,1760,Comedy,"Fernando Fernán Gómez, Nacho Martínez, Carlos Lemos, José Sacristán"
66,tt0090315,When the Wind Blows,Jimmy T. Murakami,When the Wind Blows,1986-01-01,84,7,11636,Animation,"James Russell, Raymond Briggs"
67,tt0090327,Witchboard,Kevin Tenney,Witchboard,1986-01-01,98,5,7488,Horror,"Kevin Tenney, Rose Marie, Tawny Kitaen, Todd Allen"
71,tt0090555,Crocodile Dundee,Peter Faiman,Crocodile Dundee,1986-01-01,97,6,109321,Action,"Paul Hogan, Phil Judd, Anne Carlisle, Paul Hogan"
72,tt0090556,"night, Mother",Tom Moore,"night, Mother",1986-01-01,96,7,2422,Drama,"Michael Kenworthy, Marsha Norman, Sissy Spacek"
73,tt0090557,Round Midnight,Bertrand Tavernier,Round Midnight,1986-01-01,133,7,5541,Drama,"Bobby Hutcherson, Bruno de Keyzer, Dexter Gordon"
75,tt0090563,Betty Blue,Jean-Jacques Beineix,37¶ø2 le matin,1986-01-01,119,7,22238,Drama,"Jean-Jacques Beineix, Jean-Hugues Anglade, Claude Aufaure"
77,tt0090565,Four Adventures of Reinette and Mirabelle,Éric Rohmer,4 aventures de Reinette et Mirabelle,1987-01-01,99,7,3198,Comedy,"Joëlle Miquel, Ronan Girre, Jean-Claude Brisseau"
78,tt0090567,52 Pick-Up,John Frankenheimer,52 Pick-Up,1986-01-01,110,6,6440,Crime,"Robert Trebor, Debra Satell, Roy Scheider"
79,tt0090568,8 Million Ways to Die,Hal Ashby,8 Million Ways to Die,1986-01-01,115,5,5507,Action,"Christa Denton, Lawrence Block, Jeff Bridges"
80,tt0090570,84 Charing Cross Road,David Hugh Jones,84 Charing Cross Road,1987-01-01,100,7,10520,Biography,"Eleanor David, Judy Courtney, Ronn Carroll, Anne Bancroft"
